algorithm,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score,norm_davies_bouldin_score
acedec,0.798233198,0.737532994,0.947275923,0.378116087,350.6040198,1.134900233,0.468405963
aec,0.760800614,0.662235689,0.936731107,0.383896085,362.4646575,1.136159803,0.468129771
affinity,0.755069651,0.640457723,0.934973638,0.374924723,359.9977804,1.150268577,0.465058184
agglomerative,0.538338896,0.416171984,0.868189807,0.367060543,319.0179493,1.230192876,0.448391711
amddbscan,0.233152271,0.171392767,0.757469244,0.105529594,29.30808603,2.378951943,0.295949755
autoclustering,0.73659781,0.62098598,0.92970123,0.377838115,361.3695487,1.148091333,0.465529554
bang,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
birch,0.767181406,0.662380799,0.938488576,0.367350362,345.2175033,1.152821258,0.464506747
bsas,0.360186546,0.313886777,0.808435852,0.137248731,136.1570197,2.072658627,0.325451058
clique,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
cure,0.519713574,0.404479658,0.86115993,0.228648655,168.2269092,1.647200139,0.377757611
dbscan,0.395380314,0.301505442,0.826010545,0.13198341,109.134695,2.407228361,0.293493683
dcn,0.735704482,0.658888336,0.92970123,0.387348481,358.1747574,1.124084189,0.470791132
ddc,0.73588238,0.646937499,0.92970123,0.377473269,344.9681464,1.142778589,0.466683775
dec,0.742040914,0.652747698,0.931458699,0.38002038,350.4128158,1.139021376,0.467503509
deepect,0.772953709,0.701695894,0.940246046,0.38137565,353.7413662,1.128063015,0.469910897
diana,0.611572532,0.543601633,0.892794376,0.39738013,351.7183636,1.110877011,0.473736743
dipdeck,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
dipencoder,0.485960296,0.453647309,0.848857645,0.285422466,279.805357,1.27931524,0.438728256
dipInit,0.7731007,0.687955709,0.940246046,0.383167829,359.0091264,1.134403695,0.468514931
dipMeans,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
dipNSub,0.36192655,0.380400524,0.801405975,0.197946866,173.2332848,1.569723277,0.38914696
dkm,0.741955714,0.65816983,0.931458699,0.388523481,361.9900066,1.126756228,0.470199634
drc,0.178060647,0.108448031,0.715289982,0.236128145,99.5093888,2.242468841,0.308406973
gapStatistic,0.730174903,0.622572478,0.927943761,0.384549488,364.0930516,1.136335291,0.468091317
gmeans,0.730174903,0.622572478,0.927943761,0.384549488,364.0930516,1.136335291,0.468091317
hdbscan,0.289386484,0.254113208,0.775043937,0.065056713,76.52399587,2.406301109,0.293573577
idec,0.754425606,0.664569998,0.934973638,0.375566145,345.0506324,1.145802227,0.466026173
isbm,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
kmeans,0.730174903,0.622572478,0.927943761,0.384549488,364.0930516,1.136335291,0.468091317
ldakmeans,0.754346074,0.669875274,0.934973638,0.37849955,348.850023,1.148426905,0.465456841
mbsas,0.360186546,0.313886777,0.808435852,0.137248731,136.1570197,2.072658627,0.325451058
mdbscan,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
mddbscan,0.105486112,0.071039556,0.688927944,0.28920701,44.94710304,2.376316402,0.296180772
meanshift,0.579368431,0.418968995,0.950790861,0.116520192,26.67994273,0.859362642,0.537818701
n2d,0.749082819,0.631656125,0.933216169,0.371937438,358.5155781,1.15720797,0.463562166
optics,0.320995424,0.259833479,0.783831283,0.221825839,141.3825594,1.801644056,0.356933279
pgmeans,0.826257488,0.718779732,0.956063269,0.315252534,117.9747307,0.82896241,0.546758093
projectedDipMeans,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
rock,0.003162572,0.02123715,1.0,0.005834039,21.25243418,0.373938832,0.72783444
skinnydip,0.084125572,0.165823779,0.65202109,0.019889321,39.71664974,2.836815544,0.260632806
somsc,0.779598877,0.681161563,0.942003515,0.379885714,359.6052893,1.142170638,0.46681622
specialK,0.340642831,0.248856247,0.796133568,0.32454455,161.5731077,1.638162006,0.379051778
spectral,0.798423282,0.713147806,0.947275923,0.379414879,355.49505,1.140920325,0.467088844
subkmeans,0.730174903,0.622572478,0.927943761,0.384549488,364.0930516,1.136335291,0.468091317
syncsom,0.390507803,0.270996747,0.862917399,0.11970772,27.24234143,3.722533156,0.211750763
ttsas,0.595603706,0.446173718,0.936731107,0.159027484,36.00718761,0.969428871,0.50776142
vade,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
xmeans,0.095035865,0.3005526,0.956063269,0.100524271,73.8607127,1.825996825,0.353857439
