algorithm,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score,norm_davies_bouldin_score
acedec,0.052958312,0.091004168,0.442307692,0.235442799,117.0412998,1.556040291,0.39123014
aec,0.054463915,0.0909183,0.451923077,0.236327232,112.0423571,1.574332695,0.38845018
affinity,0.151656063,0.416064779,0.907051282,0.392821288,243.342011,0.859684407,0.537725646
agglomerative,0.010045251,0.010631822,0.400641026,0.343411507,218.119669,0.908520247,0.523966147
amddbscan,0.546530356,0.720579955,0.987179487,0.020684078,37.355388,2.215656113,0.310978527
autoclustering,0.015336812,0.048223922,0.407051282,0.312031299,169.8307788,0.948040682,0.513336302
bang,1.0,1.0,1.0,0.001370304,5.797144814,5.87156349,0.145527288
birch,0.041702842,0.070052749,0.448717949,0.29556215,165.0945732,1.008897513,0.497785474
bsas,1.0,1.0,1.0,0.001370304,5.797144814,5.87156349,0.145527288
clique,0.103672946,0.363694594,0.913461538,0.213766128,18.53943471,1.595559971,0.385273317
cure,1.0,1.0,1.0,0.001370304,5.797144814,5.87156349,0.145527288
dbscan,1.0,1.0,1.0,0.001370304,5.797144814,5.87156349,0.145527288
dcn,0.040287005,0.078813664,0.442307692,0.253937233,126.9907746,1.392931544,0.417897454
ddc,0.25604453,0.42263542,0.717948718,0.23114309,146.0368818,1.227042237,0.449026059
dec,-0.000882427,-0.000769623,0.378205128,0.361765049,230.8746377,0.895601418,0.527537061
deepect,0.024799454,0.050096147,0.423076923,0.247612335,85.75645514,1.238190795,0.446789435
diana,-0.003174145,-0.003161999,0.362179487,0.315365549,179.8772612,0.910569309,0.5234042
dipdeck,0.03607438,0.072354577,0.435897436,0.230309605,104.6622694,1.528659267,0.395466488
dipencoder,0.008553477,0.009217071,0.394230769,0.326667348,186.8280408,1.018284989,0.495470167
dipInit,-0.005320957,-0.004897573,0.349358974,0.360969755,237.3683775,0.88716596,0.529895103
dipMeans,0.126088226,0.447675082,0.980769231,0.469526494,333.7435306,0.624004152,0.615761973
dipNSub,-0.003717542,-0.003266836,0.342948718,0.33246097,162.2858585,1.236796339,0.447067971
dkm,0.040410247,0.078896616,0.442307692,0.253191848,126.4390464,1.40015469,0.416639812
drc,1.0,1.0,1.0,0.001370304,5.797144814,5.87156349,0.145527288
gapStatistic,-0.003382266,-0.002847706,0.352564103,0.346187467,182.7403385,1.173940223,0.459994249
gmeans,-0.003694622,-0.004096457,0.375,0.353126162,242.8878075,0.877091429,0.532739101
hdbscan,0.93504056,0.914397438,0.993589744,-0.067243993,9.094612051,4.940218772,0.168343968
idec,-0.000882427,-0.000769623,0.378205128,0.361765049,230.8746377,0.895601418,0.527537061
isbm,0.070434137,0.084562396,0.493589744,0.213792838,135.2188691,1.400340749,0.416607517
kmeans,-0.005870815,-0.005418814,0.349358974,0.360137349,237.5913061,0.878504059,0.532338482
ldakmeans,-0.005585281,-0.005187835,0.346153846,0.361105428,238.0333697,0.887231668,0.529876653
mbsas,0.807975257,0.833554176,0.929487179,-0.015220937,5.452669817,7.909402972,0.112240966
mdbscan,1.0,1.0,1.0,0.001370304,5.797144814,5.87156349,0.145527288
mddbscan,1.0,1.0,1.0,0.001370304,5.797144814,5.87156349,0.145527288
meanshift,0.135663404,0.450911721,0.990384615,0.446608686,309.8004257,0.665328996,0.600481948
n2d,-0.004112272,-0.00377001,0.362179487,0.363326266,224.2367608,0.892984176,0.528266434
optics,0.995107676,0.991736936,1.0,-0.076959217,4.766862575,4.584844604,0.179056012
pgmeans,0.009411782,0.025651721,0.426282051,0.277309874,180.3179551,0.951275859,0.512485201
projectedDipMeans,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
rock,1.0,1.0,1.0,0.001370304,5.797144814,5.87156349,0.145527288
skinnydip,0.129063883,0.300333395,0.733974359,0.068670465,64.94031666,2.12426422,0.320075362
somsc,0.044329128,0.03937845,0.477564103,0.246304744,134.9113775,1.134649474,0.468460987
specialK,1.0,1.0,1.0,0.001370304,5.797144814,5.87156349,0.145527288
spectral,1.0,1.0,1.0,0.001370304,5.797144814,5.87156349,0.145527288
subkmeans,-0.005282148,-0.004889775,0.349358974,0.361126043,237.8393044,0.888769366,0.529445266
syncsom,1.0,1.0,1.0,0.001370304,5.797144814,5.87156349,0.145527288
ttsas,1.0,1.0,1.0,0.001370304,5.797144814,5.87156349,0.145527288
vade,0.054054417,0.146788971,0.439102564,0.258467803,134.2960599,1.024456548,0.493959725
xmeans,-0.003012611,-0.003702122,0.384615385,0.345615527,248.5679504,0.890465819,0.528970156
