significance,pval_strategy,n_split_trials,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score
0.0005,table,5,,,,,,
0.0005,table,10,,,,,,
0.0005,table,15,,,,,,
0.0005,table,20,,,,,,
0.0005,bootstrap,5,,,,,,
0.0005,bootstrap,10,,,,,,
0.0005,bootstrap,15,,,,,,
0.0005,bootstrap,20,,,,,,
0.001,table,5,,,,,,
0.001,table,10,,,,,,
0.001,table,15,,,,,,
0.001,table,20,,,,,,
0.001,bootstrap,5,,,,,,
0.001,bootstrap,10,,,,,,
0.001,bootstrap,15,,,,,,
0.001,bootstrap,20,,,,,,
0.005,table,5,,,,,,
0.005,table,10,,,,,,
0.005,table,15,,,,,,
0.005,table,20,,,,,,
0.005,bootstrap,5,,,,,,
0.005,bootstrap,10,,,,,,
0.005,bootstrap,15,,,,,,
0.005,bootstrap,20,,,,,,
0.01,table,5,,,,,,
0.01,table,10,,,,,,
0.01,table,15,,,,,,
0.01,table,20,,,,,,
0.01,bootstrap,5,,,,,,
0.01,bootstrap,10,,,,,,
0.01,bootstrap,15,0.3702270932278303,0.47866159848870826,0.601123595505618,0.2987221815974774,1.0,0.4247165436163011
0.01,bootstrap,20,,,,,,
