outliers,consider_duplicates,threshold,significance,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score
True,True,0.1,0.0005,,,,,,
True,True,0.1,0.001,,,,,,
True,True,0.1,0.005,,,,,,
True,True,0.1,0.01,,,,,,
True,True,0.1,0.1,,,,,,
True,True,0.15,0.0005,,,,,,
True,True,0.15,0.001,,,,,,
True,True,0.15,0.005,,,,,,
True,True,0.15,0.01,,,,,,
True,True,0.15,0.1,,,,,,
True,True,0.2,0.0005,,,,,,
True,True,0.2,0.001,,,,,,
True,True,0.2,0.005,,,,,,
True,True,0.2,0.01,,,,,,
True,True,0.2,0.1,,,,,,
True,True,0.5,0.0005,,,,,,
True,True,0.5,0.001,,,,,,
True,True,0.5,0.005,,,,,,
True,True,0.5,0.01,,,,,,
True,True,0.5,0.1,,,,,,
True,True,1.0,0.0005,0.29928941927546776,0.5814205809043597,0.293,0.13594904948838338,1.0,0.19432481855272304
True,True,1.0,0.001,0.29928941927546776,0.5814205809043597,0.293,0.13594904948838338,1.0,0.19432481855272304
True,True,1.0,0.005,0.3349307445871902,0.5894131673847869,0.3368,0.0923322223225816,0.9793345947420923,0.18129950598638025
True,True,1.0,0.01,0.3349307445871902,0.5894131673847869,0.3368,0.0923322223225816,0.9793345947420923,0.18129950598638025
True,True,1.0,0.1,0.32894506334559126,0.580249603755234,0.3468,0.08845402109853558,0.9726794957263744,0.14676898875582278
True,False,0.1,0.0005,,,,,,
True,False,0.1,0.001,,,,,,
True,False,0.1,0.005,,,,,,
True,False,0.1,0.01,,,,,,
True,False,0.1,0.1,,,,,,
True,False,0.15,0.0005,,,,,,
True,False,0.15,0.001,,,,,,
True,False,0.15,0.005,,,,,,
True,False,0.15,0.01,,,,,,
True,False,0.15,0.1,,,,,,
True,False,0.2,0.0005,,,,,,
True,False,0.2,0.001,,,,,,
True,False,0.2,0.005,,,,,,
True,False,0.2,0.01,,,,,,
True,False,0.2,0.1,,,,,,
True,False,0.5,0.0005,,,,,,
True,False,0.5,0.001,,,,,,
True,False,0.5,0.005,,,,,,
True,False,0.5,0.01,,,,,,
True,False,0.5,0.1,,,,,,
True,False,1.0,0.0005,0.29928941927546776,0.5814205809043597,0.293,0.13594904948838338,1.0,0.19432481855272304
True,False,1.0,0.001,0.29928941927546776,0.5814205809043597,0.293,0.13594904948838338,1.0,0.19432481855272304
True,False,1.0,0.005,0.3349307445871902,0.5894131673847869,0.3368,0.0923322223225816,0.9793345947420923,0.18129950598638025
True,False,1.0,0.01,0.3349307445871902,0.5894131673847869,0.3368,0.0923322223225816,0.9793345947420923,0.18129950598638025
True,False,1.0,0.1,0.32894506334559126,0.580249603755234,0.3468,0.08845402109853558,0.9726794957263744,0.14676898875582278
False,True,0.1,0.0005,,,,,,
False,True,0.1,0.001,,,,,,
False,True,0.1,0.005,,,,,,
False,True,0.1,0.01,,,,,,
False,True,0.1,0.1,,,,,,
False,True,0.15,0.0005,,,,,,
False,True,0.15,0.001,,,,,,
False,True,0.15,0.005,,,,,,
False,True,0.15,0.01,,,,,,
False,True,0.15,0.1,,,,,,
False,True,0.2,0.0005,,,,,,
False,True,0.2,0.001,,,,,,
False,True,0.2,0.005,,,,,,
False,True,0.2,0.01,,,,,,
False,True,0.2,0.1,,,,,,
False,True,0.5,0.0005,,,,,,
False,True,0.5,0.001,,,,,,
False,True,0.5,0.005,,,,,,
False,True,0.5,0.01,,,,,,
False,True,0.5,0.1,,,,,,
False,True,1.0,0.0005,,,,,,
False,True,1.0,0.001,,,,,,
False,True,1.0,0.005,,,,,,
False,True,1.0,0.01,,,,,,
False,True,1.0,0.1,,,,,,
False,False,0.1,0.0005,,,,,,
False,False,0.1,0.001,,,,,,
False,False,0.1,0.005,,,,,,
False,False,0.1,0.01,,,,,,
False,False,0.1,0.1,,,,,,
False,False,0.15,0.0005,,,,,,
False,False,0.15,0.001,,,,,,
False,False,0.15,0.005,,,,,,
False,False,0.15,0.01,,,,,,
False,False,0.15,0.1,,,,,,
False,False,0.2,0.0005,,,,,,
False,False,0.2,0.001,,,,,,
False,False,0.2,0.005,,,,,,
False,False,0.2,0.01,,,,,,
False,False,0.2,0.1,,,,,,
False,False,0.5,0.0005,,,,,,
False,False,0.5,0.001,,,,,,
False,False,0.5,0.005,,,,,,
False,False,0.5,0.01,,,,,,
False,False,0.5,0.1,,,,,,
False,False,1.0,0.0005,,,,,,
False,False,1.0,0.001,,,,,,
False,False,1.0,0.005,,,,,,
False,False,1.0,0.01,,,,,,
False,False,1.0,0.1,,,,,,
