outliers,consider_duplicates,threshold,significance,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score
True,True,0.1,0.0005,,,,,,
True,True,0.1,0.001,,,,,,
True,True,0.1,0.005,,,,,,
True,True,0.1,0.01,,,,,,
True,True,0.1,0.1,,,,,,
True,True,0.15,0.0005,,,,,,
True,True,0.15,0.001,,,,,,
True,True,0.15,0.005,,,,,,
True,True,0.15,0.01,,,,,,
True,True,0.15,0.1,,,,,,
True,True,0.2,0.0005,,,,,,
True,True,0.2,0.001,,,,,,
True,True,0.2,0.005,,,,,,
True,True,0.2,0.01,,,,,,
True,True,0.2,0.1,,,,,,
True,True,0.5,0.0005,,,,,,
True,True,0.5,0.001,,,,,,
True,True,0.5,0.005,,,,,,
True,True,0.5,0.01,,,,,,
True,True,0.5,0.1,,,,,,
True,True,1.0,0.0005,0.336156311736762,0.6017125835453933,0.3816,0.057865125560970065,0.9645612616974243,0.2716358123360452
True,True,1.0,0.001,0.339390562303042,0.6071505561708338,0.3836,0.06280214547572682,0.9684829759120186,0.2581734032644213
True,True,1.0,0.005,0.3613003840713766,0.6358093339060036,0.4002,0.0830666745742112,0.9749539372117302,0.32058499085644737
True,True,1.0,0.01,0.3980097842426457,0.6422233284357258,0.4548,0.06945072125326583,0.9466518629655417,0.23236274878297722
True,True,1.0,0.1,0.3944783616888216,0.6412619660275528,0.491,0.08449576407997084,0.9523594426359816,0.21694740785423938
True,False,0.1,0.0005,,,,,,
True,False,0.1,0.001,,,,,,
True,False,0.1,0.005,,,,,,
True,False,0.1,0.01,,,,,,
True,False,0.1,0.1,,,,,,
True,False,0.15,0.0005,,,,,,
True,False,0.15,0.001,,,,,,
True,False,0.15,0.005,,,,,,
True,False,0.15,0.01,,,,,,
True,False,0.15,0.1,,,,,,
True,False,0.2,0.0005,,,,,,
True,False,0.2,0.001,,,,,,
True,False,0.2,0.005,,,,,,
True,False,0.2,0.01,,,,,,
True,False,0.2,0.1,,,,,,
True,False,0.5,0.0005,,,,,,
True,False,0.5,0.001,,,,,,
True,False,0.5,0.005,,,,,,
True,False,0.5,0.01,,,,,,
True,False,0.5,0.1,,,,,,
True,False,1.0,0.0005,0.336156311736762,0.6017125835453933,0.3816,0.057865125560970065,0.9645612616974243,0.2716358123360452
True,False,1.0,0.001,0.339390562303042,0.6071505561708338,0.3836,0.06280214547572682,0.9684829759120186,0.2581734032644213
True,False,1.0,0.005,0.3613003840713766,0.6358093339060036,0.4002,0.0830666745742112,0.9749539372117302,0.32058499085644737
True,False,1.0,0.01,0.3980097842426457,0.6422233284357258,0.4548,0.06945072125326583,0.9466518629655417,0.23236274878297722
True,False,1.0,0.1,0.3944783616888216,0.6412619660275528,0.491,0.08449576407997084,0.9523594426359816,0.21694740785423938
False,True,0.1,0.0005,,,,,,
False,True,0.1,0.001,,,,,,
False,True,0.1,0.005,,,,,,
False,True,0.1,0.01,,,,,,
False,True,0.1,0.1,,,,,,
False,True,0.15,0.0005,,,,,,
False,True,0.15,0.001,,,,,,
False,True,0.15,0.005,,,,,,
False,True,0.15,0.01,,,,,,
False,True,0.15,0.1,,,,,,
False,True,0.2,0.0005,,,,,,
False,True,0.2,0.001,,,,,,
False,True,0.2,0.005,,,,,,
False,True,0.2,0.01,,,,,,
False,True,0.2,0.1,,,,,,
False,True,0.5,0.0005,,,,,,
False,True,0.5,0.001,,,,,,
False,True,0.5,0.005,,,,,,
False,True,0.5,0.01,,,,,,
False,True,0.5,0.1,,,,,,
False,True,1.0,0.0005,0.3725847154138974,0.6484950492929602,0.4008,0.1400437755962856,1.0,0.36294997572316773
False,True,1.0,0.001,0.3725847154138974,0.6484950492929602,0.4008,0.1400437755962856,1.0,0.36294997572316773
False,True,1.0,0.005,,,,,,
False,True,1.0,0.01,,,,,,
False,True,1.0,0.1,,,,,,
False,False,0.1,0.0005,,,,,,
False,False,0.1,0.001,,,,,,
False,False,0.1,0.005,,,,,,
False,False,0.1,0.01,,,,,,
False,False,0.1,0.1,,,,,,
False,False,0.15,0.0005,,,,,,
False,False,0.15,0.001,,,,,,
False,False,0.15,0.005,,,,,,
False,False,0.15,0.01,,,,,,
False,False,0.15,0.1,,,,,,
False,False,0.2,0.0005,,,,,,
False,False,0.2,0.001,,,,,,
False,False,0.2,0.005,,,,,,
False,False,0.2,0.01,,,,,,
False,False,0.2,0.1,,,,,,
False,False,0.5,0.0005,,,,,,
False,False,0.5,0.001,,,,,,
False,False,0.5,0.005,,,,,,
False,False,0.5,0.01,,,,,,
False,False,0.5,0.1,,,,,,
False,False,1.0,0.0005,0.3725847154138974,0.6484950492929602,0.4008,0.1400437755962856,1.0,0.36294997572316773
False,False,1.0,0.001,0.3725847154138974,0.6484950492929602,0.4008,0.1400437755962856,1.0,0.36294997572316773
False,False,1.0,0.005,,,,,,
False,False,1.0,0.01,,,,,,
False,False,1.0,0.1,,,,,,
