outliers,consider_duplicates,threshold,significance,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score
True,True,0.1,0.0005,,,,,,
True,True,0.1,0.001,,,,,,
True,True,0.1,0.005,,,,,,
True,True,0.1,0.01,,,,,,
True,True,0.1,0.1,0.3734817092746041,0.34559971025772346,0.8242530755711776,0.1538165911104928,0.8825480044079113,0.19756039749912757
True,True,0.15,0.0005,,,,,,
True,True,0.15,0.001,,,,,,
True,True,0.15,0.005,,,,,,
True,True,0.15,0.01,,,,,,
True,True,0.15,0.1,0.3734817092746041,0.34559971025772346,0.8242530755711776,0.1538165911104928,0.8825480044079113,0.19756039749912757
True,True,0.2,0.0005,,,,,,
True,True,0.2,0.001,,,,,,
True,True,0.2,0.005,,,,,,
True,True,0.2,0.01,,,,,,
True,True,0.2,0.1,0.3734817092746041,0.34559971025772346,0.8242530755711776,0.1538165911104928,0.8825480044079113,0.19756039749912757
True,True,0.5,0.0005,,,,,,
True,True,0.5,0.001,,,,,,
True,True,0.5,0.005,,,,,,
True,True,0.5,0.01,,,,,,
True,True,0.5,0.1,0.3734817092746041,0.34559971025772346,0.8242530755711776,0.1538165911104928,0.8825480044079113,0.19756039749912757
True,True,1.0,0.0005,,,,,,
True,True,1.0,0.001,,,,,,
True,True,1.0,0.005,,,,,,
True,True,1.0,0.01,,,,,,
True,True,1.0,0.1,0.34002350636603307,0.3515806075209035,0.7978910369068541,0.1698964982574934,0.8515876814471587,0.19845148575763832
True,False,0.1,0.0005,,,,,,
True,False,0.1,0.001,,,,,,
True,False,0.1,0.005,,,,,,
True,False,0.1,0.01,,,,,,
True,False,0.1,0.1,0.3734817092746041,0.34559971025772346,0.8242530755711776,0.1538165911104928,0.8825480044079113,0.19756039749912757
True,False,0.15,0.0005,,,,,,
True,False,0.15,0.001,,,,,,
True,False,0.15,0.005,,,,,,
True,False,0.15,0.01,,,,,,
True,False,0.15,0.1,0.3734817092746041,0.34559971025772346,0.8242530755711776,0.1538165911104928,0.8825480044079113,0.19756039749912757
True,False,0.2,0.0005,,,,,,
True,False,0.2,0.001,,,,,,
True,False,0.2,0.005,,,,,,
True,False,0.2,0.01,,,,,,
True,False,0.2,0.1,0.3734817092746041,0.34559971025772346,0.8242530755711776,0.1538165911104928,0.8825480044079113,0.19756039749912757
True,False,0.5,0.0005,,,,,,
True,False,0.5,0.001,,,,,,
True,False,0.5,0.005,,,,,,
True,False,0.5,0.01,,,,,,
True,False,0.5,0.1,0.3734817092746041,0.34559971025772346,0.8242530755711776,0.1538165911104928,0.8825480044079113,0.19756039749912757
True,False,1.0,0.0005,,,,,,
True,False,1.0,0.001,,,,,,
True,False,1.0,0.005,,,,,,
True,False,1.0,0.01,,,,,,
True,False,1.0,0.1,0.34002350636603307,0.3515806075209035,0.7978910369068541,0.1698964982574934,0.8515876814471587,0.19845148575763832
False,True,0.1,0.0005,,,,,,
False,True,0.1,0.001,,,,,,
False,True,0.1,0.005,,,,,,
False,True,0.1,0.01,,,,,,
False,True,0.1,0.1,0.3619265499561131,0.3804005239407345,0.8014059753954306,0.19794686602362227,1.0,0.3891469595101644
False,True,0.15,0.0005,,,,,,
False,True,0.15,0.001,,,,,,
False,True,0.15,0.005,,,,,,
False,True,0.15,0.01,,,,,,
False,True,0.15,0.1,0.3619265499561131,0.3804005239407345,0.8014059753954306,0.19794686602362227,1.0,0.3891469595101644
False,True,0.2,0.0005,,,,,,
False,True,0.2,0.001,,,,,,
False,True,0.2,0.005,,,,,,
False,True,0.2,0.01,,,,,,
False,True,0.2,0.1,0.3619265499561131,0.3804005239407345,0.8014059753954306,0.19794686602362227,1.0,0.3891469595101644
False,True,0.5,0.0005,,,,,,
False,True,0.5,0.001,,,,,,
False,True,0.5,0.005,,,,,,
