algorithm,dataset,n_clusters,embedding_size,pretrain_optimizer_params,random_state
n2d,2d10c,9.0,10.0,{'lr': 0.01},42.0
n2d,2d20c,20.0,10.0,{'lr': 0.01},42.0
n2d,2d4c,4.0,10.0,{'lr': 0.001},42.0
n2d,3spiral,3.0,2.0,{'lr': 0.01},42.0
n2d,aggregation,7.0,10.0,{'lr': 0.01},42.0
n2d,compound,6.0,5.0,{'lr': 0.01},42.0
n2d,D1,3.0,10.0,{'lr': 0.01},42.0
n2d,D2,3.0,5.0,{'lr': 0.01},42.0
n2d,D3,3.0,2.0,{'lr': 0.01},42.0
n2d,D4,2.0,2.0,{'lr': 0.01},42.0
n2d,D5,2.0,5.0,{'lr': 0.01},42.0
n2d,ecoli,8.0,10.0,{'lr': 0.01},42.0
n2d,elly2d10c13s,10.0,2.0,{'lr': 0.001},42.0
n2d,glass,6.0,2.0,{'lr': 0.01},42.0
n2d,ionosphere,2.0,2.0,{'lr': 0.01},42.0
n2d,s1,15.0,5.0,{'lr': 0.001},42.0
n2d,s2,15.0,10.0,{'lr': 0.01},42.0
n2d,sonar,2.0,5.0,{'lr': 0.001},42.0
n2d,statlog,7.0,5.0,{'lr': 0.01},42.0
n2d,unbalance,8.0,10.0,{'lr': 0.001},42.0
n2d,wdbc,2.0,5.0,{'lr': 0.001},42.0
n2d,wine,3.0,5.0,{'lr': 0.01},42.0
n2d,yeast,10.0,10.0,{'lr': 0.01},42.0
