algorithm,dataset,n_clusters,embedding_size,pretrain_optimizer_params,clustering_optimizer_params,random_state
vade,2d10c,9.0,2.0,{'lr': 0.01},{'lr': 1e-05},42.0
vade,2d20c,20.0,2.0,{'lr': 0.01},{'lr': 0.001},42.0
vade,2d4c,4.0,5.0,{'lr': 0.001},{'lr': 1e-05},42.0
vade,3spiral,3.0,10.0,{'lr': 0.0001},{'lr': 0.0001},42.0
vade,aggregation,7.0,2.0,{'lr': 0.01},{'lr': 0.001},42.0
vade,compound,6.0,2.0,{'lr': 0.0001},{'lr': 0.001},42.0
vade,D1,3.0,5.0,{'lr': 0.0001},{'lr': 0.001},42.0
vade,D2,3.0,2.0,{'lr': 0.0001},{'lr': 0.0001},42.0
vade,D3,3.0,10.0,{'lr': 0.0001},{'lr': 0.001},42.0
vade,D4,2.0,5.0,{'lr': 0.001},{'lr': 1e-05},42.0
vade,D5,2.0,5.0,{'lr': 0.01},{'lr': 1e-05},42.0
vade,ecoli,8.0,5.0,{'lr': 0.01},{'lr': 0.001},42.0
vade,elly2d10c13s,10.0,2.0,{'lr': 0.0001},{'lr': 0.001},42.0
vade,glass,6.0,10.0,{'lr': 0.01},{'lr': 0.001},42.0
vade,ionosphere,2.0,10.0,{'lr': 0.01},{'lr': 1e-05},42.0
vade,s1,15.0,2.0,{'lr': 0.001},{'lr': 0.001},42.0
vade,s2,15.0,2.0,{'lr': 0.01},{'lr': 0.001},42.0
vade,sonar,2.0,2.0,{'lr': 0.01},{'lr': 0.001},42.0
vade,statlog,7.0,10.0,{'lr': 0.0001},{'lr': 0.0001},42.0
vade,unbalance,8.0,2.0,{'lr': 0.01},{'lr': 1e-05},42.0
vade,wdbc,2.0,2.0,{'lr': 0.01},{'lr': 0.001},42.0
vade,wine,3.0,5.0,{'lr': 0.001},{'lr': 0.0001},42.0
vade,yeast,10.0,10.0,{'lr': 0.0001},{'lr': 0.001},42.0
