algorithm,dataset,n_clusters_init,significance,max_n_clusters,n_split_trials
gmeans,2d10c,9.0,0.1,10.0,20.0
gmeans,2d20c,20.0,0.005,21.0,5.0
gmeans,2d4c,4.0,0.001,5.0,5.0
gmeans,3spiral,3.0,0.5,4.0,10.0
gmeans,aggregation,7.0,0.001,8.0,1.0
gmeans,compound,6.0,0.01,7.0,1.0
gmeans,D1,3.0,0.001,4.0,1.0
gmeans,D2,3.0,0.01,4.0,1.0
gmeans,D3,3.0,0.001,4.0,1.0
gmeans,D4,2.0,0.001,3.0,1.0
gmeans,D5,2.0,0.001,3.0,10.0
gmeans,ecoli,8.0,0.05,9.0,5.0
gmeans,elly2d10c13s,10.0,0.005,11.0,20.0
gmeans,glass,6.0,0.05,7.0,2.0
gmeans,ionosphere,2.0,0.001,3.0,20.0
gmeans,s1,15.0,0.25,16.0,5.0
gmeans,s2,15.0,0.005,16.0,2.0
gmeans,sonar,2.0,0.01,3.0,1.0
gmeans,statlog,7.0,0.25,8.0,2.0
gmeans,unbalance,8.0,0.001,9.0,2.0
gmeans,wdbc,2.0,0.001,3.0,1.0
gmeans,wine,3.0,0.001,4.0,10.0
gmeans,yeast,10.0,0.01,11.0,20.0
