algorithm,dataset,damping,convergence_iter,affinity,preference
affinity,2d10c,0.7,15.0,euclidean,
affinity,2d20c,0.8,15.0,euclidean,
affinity,2d4c,0.9,15.0,euclidean,-10.0
affinity,3spiral,0.6,15.0,euclidean,
affinity,aggregation,0.9,15.0,euclidean,-10.0
affinity,compound,0.7,15.0,euclidean,-10.0
affinity,D1,0.7,15.0,euclidean,-10.0
affinity,D2,0.7,15.0,euclidean,-10.0
affinity,D3,0.9,15.0,euclidean,-10.0
affinity,D4,0.9,15.0,euclidean,-50.0
affinity,D5,0.8,15.0,euclidean,
affinity,ecoli,0.6,15.0,euclidean,-10.0
affinity,elly2d10c13s,0.9,15.0,euclidean,-10.0
affinity,glass,0.5,15.0,euclidean,-10.0
affinity,ionosphere,0.6,15.0,euclidean,
affinity,s1,0.9,15.0,euclidean,
affinity,s2,0.9,50.0,euclidean,
affinity,sonar,0.6,15.0,euclidean,
affinity,statlog,0.6,15.0,euclidean,-50.0
affinity,unbalance,0.9,15.0,euclidean,-10.0
affinity,wdbc,0.6,15.0,euclidean,-100.0
affinity,wine,0.6,15.0,euclidean,-10.0
affinity,yeast,0.7,50.0,euclidean,-10.0
