algorithm,dataset,min_n_clusters,max_n_clusters,n_boots,use_principal_components,use_log
gapStatistic,2d10c,8.0,10.0,10.0,True,True
gapStatistic,2d20c,19.0,21.0,5.0,False,True
gapStatistic,2d4c,3.0,5.0,30.0,True,True
gapStatistic,3spiral,2.0,4.0,5.0,False,False
gapStatistic,aggregation,6.0,8.0,30.0,True,False
gapStatistic,compound,5.0,7.0,10.0,True,False
gapStatistic,D1,2.0,4.0,5.0,False,True
gapStatistic,D2,2.0,4.0,15.0,False,True
gapStatistic,D3,2.0,4.0,5.0,True,True
gapStatistic,D4,1.0,3.0,5.0,True,True
gapStatistic,D5,1.0,3.0,5.0,True,True
gapStatistic,ecoli,7.0,9.0,10.0,True,False
gapStatistic,elly2d10c13s,9.0,11.0,5.0,False,False
gapStatistic,glass,5.0,7.0,30.0,False,False
gapStatistic,ionosphere,1.0,3.0,20.0,False,False
gapStatistic,s1,14.0,16.0,5.0,True,True
gapStatistic,s2,14.0,16.0,15.0,True,True
gapStatistic,sonar,1.0,3.0,5.0,True,True
gapStatistic,statlog,6.0,8.0,30.0,False,False
gapStatistic,unbalance,7.0,9.0,5.0,True,True
gapStatistic,wdbc,1.0,3.0,5.0,True,True
gapStatistic,wine,2.0,4.0,15.0,True,True
gapStatistic,yeast,9.0,11.0,20.0,True,False
