algorithm,dataset,number_cluster,number_represent_points,compression
cure,2d10c,9.0,5.0,0.9
cure,2d20c,20.0,3.0,0.5
cure,2d4c,4.0,3.0,0.9
cure,3spiral,3.0,3.0,0.01
cure,aggregation,7.0,1.0,0.9
cure,compound,6.0,3.0,0.9
cure,D1,3.0,3.0,0.9
cure,D2,3.0,1.0,0.9
cure,D3,3.0,5.0,0.9
cure,D4,2.0,5.0,0.02
cure,D5,2.0,3.0,0.25
cure,ecoli,8.0,3.0,0.9
cure,elly2d10c13s,10.0,5.0,0.9
cure,glass,6.0,1.0,0.5
cure,ionosphere,2.0,1.0,0.25
cure,s1,15.0,15.0,0.5
cure,s2,15.0,5.0,0.75
cure,sonar,2.0,1.0,0.25
cure,statlog,7.0,5.0,0.01
cure,unbalance,8.0,3.0,0.5
cure,wdbc,2.0,1.0,0.02
cure,wine,3.0,3.0,0.02
cure,yeast,10.0,1.0,0.75
