algorithm,dataset,n_clusters,linkage
agglomerative,2d10c,9.0,ward
agglomerative,2d20c,20.0,ward
agglomerative,2d4c,4.0,ward
agglomerative,3spiral,3.0,complete
agglomerative,aggregation,7.0,average
agglomerative,compound,6.0,average
agglomerative,D1,3.0,ward
agglomerative,D2,3.0,average
agglomerative,D3,3.0,ward
agglomerative,D4,2.0,average
agglomerative,D5,2.0,ward
agglomerative,ecoli,8.0,average
agglomerative,elly2d10c13s,10.0,average
agglomerative,glass,6.0,complete
agglomerative,ionosphere,2.0,ward
agglomerative,s1,15.0,ward
agglomerative,s2,15.0,average
agglomerative,sonar,2.0,complete
agglomerative,statlog,7.0,ward
agglomerative,unbalance,8.0,ward
agglomerative,wdbc,2.0,ward
agglomerative,wine,3.0,ward
agglomerative,yeast,10.0,ward
