algorithm,dataset,significance,n_projections,n_samples
pgmeans,2d10c,0.005,1.0,
pgmeans,2d20c,0.005,,
pgmeans,2d4c,0.005,,
pgmeans,3spiral,0.5,1.0,
pgmeans,aggregation,0.05,,1.0
pgmeans,compound,0.01,1.0,
pgmeans,D1,0.001,1.0,
pgmeans,D2,0.001,,
pgmeans,D3,0.001,,
pgmeans,D4,0.005,,1.0
pgmeans,D5,0.001,,
pgmeans,ecoli,0.01,,
pgmeans,elly2d10c13s,0.5,,1.0
pgmeans,glass,0.05,1.0,
pgmeans,ionosphere,0.1,1.0,1.0
pgmeans,s1,0.005,,
pgmeans,s2,0.001,,
pgmeans,sonar,0.5,,1.0
pgmeans,statlog,0.01,,
pgmeans,unbalance,0.001,,
pgmeans,wdbc,0.05,,
pgmeans,wine,0.5,,1.0
pgmeans,yeast,0.5,1.0,
