algorithm,dataset,embedding_size,pretrain_optimizer_params,clustering_optimizer_params,random_state,max_n_leaf_nodes
deepect,2d10c,2.0,{'lr': 0.001},{'lr': 0.001},42.0,1.0
deepect,2d20c,10.0,{'lr': 0.01},{'lr': 0.001},42.0,1.0
deepect,2d4c,10.0,{'lr': 0.001},{'lr': 0.001},42.0,1.0
deepect,3spiral,2.0,{'lr': 0.01},{'lr': 0.001},42.0,1.0
deepect,aggregation,10.0,{'lr': 0.01},{'lr': 1e-05},42.0,1.0
deepect,compound,10.0,{'lr': 0.001},{'lr': 0.001},42.0,1.0
deepect,D1,2.0,{'lr': 0.01},{'lr': 0.001},42.0,1.0
deepect,D2,5.0,{'lr': 0.0001},{'lr': 1e-05},42.0,1.0
deepect,D3,5.0,{'lr': 0.01},{'lr': 0.001},42.0,1.0
deepect,D4,5.0,{'lr': 0.01},{'lr': 1e-05},42.0,1.0
deepect,D5,5.0,{'lr': 0.01},{'lr': 0.0001},42.0,1.0
deepect,ecoli,10.0,{'lr': 0.01},{'lr': 0.001},42.0,1.0
deepect,elly2d10c13s,10.0,{'lr': 0.01},{'lr': 0.0001},42.0,1.0
deepect,glass,10.0,{'lr': 0.01},{'lr': 0.001},42.0,1.0
deepect,ionosphere,10.0,{'lr': 0.01},{'lr': 0.0001},42.0,1.0
deepect,s1,2.0,{'lr': 0.01},{'lr': 1e-05},42.0,1.0
deepect,s2,10.0,{'lr': 0.0001},{'lr': 0.001},42.0,1.0
deepect,sonar,10.0,{'lr': 0.0001},{'lr': 1e-05},42.0,1.0
deepect,statlog,2.0,{'lr': 0.001},{'lr': 0.0001},42.0,1.0
deepect,unbalance,2.0,{'lr': 0.01},{'lr': 0.001},42.0,1.0
deepect,wdbc,5.0,{'lr': 0.01},{'lr': 0.001},42.0,1.0
deepect,wine,5.0,{'lr': 0.01},{'lr': 0.001},42.0,1.0
deepect,yeast,2.0,{'lr': 0.01},{'lr': 1e-05},42.0,1.0
