algorithm,dataset,significance,similarity_matrix,n_neighbors
specialK,2d10c,0.1,SAM,15.0
specialK,2d20c,0.1,SAM,15.0
specialK,2d4c,0.01,SAM,5.0
specialK,3spiral,0.001,NAM,3.0
specialK,aggregation,0.01,NAM,5.0
specialK,compound,0.001,NAM,3.0
specialK,D1,0.01,NAM,5.0
specialK,D2,0.001,NAM,3.0
specialK,D3,0.005,NAM,5.0
specialK,D4,0.001,NAM,5.0
specialK,D5,0.001,NAM,10.0
specialK,ecoli,0.5,SAM,3.0
specialK,elly2d10c13s,0.5,SAM,3.0
specialK,glass,0.001,NAM,3.0
specialK,ionosphere,0.005,NAM,20.0
specialK,s1,0.005,SAM,15.0
specialK,s2,0.5,SAM,20.0
specialK,sonar,0.01,NAM,20.0
specialK,statlog,0.001,SAM,10.0
specialK,unbalance,0.001,NAM,10.0
specialK,wdbc,0.5,NAM,15.0
specialK,wine,0.001,NAM,3.0
specialK,yeast,0.005,NAM,10.0
