algorithm,dataset,significance,pval_strategy,n_split_trials
projectedDipMeans,2d10c,0.0005,table,5.0
projectedDipMeans,2d20c,0.1,bootstrap,5.0
projectedDipMeans,2d4c,0.01,table,5.0
projectedDipMeans,3spiral,0.0005,table,5.0
projectedDipMeans,aggregation,0.005,bootstrap,10.0
projectedDipMeans,compound,0.02,bootstrap,25.0
projectedDipMeans,D1,0.0005,table,5.0
projectedDipMeans,D2,0.0005,table,5.0
projectedDipMeans,D3,0.0005,table,5.0
projectedDipMeans,D4,0.015,bootstrap,5.0
projectedDipMeans,D5,0.015,function,12.0
projectedDipMeans,ecoli,0.0005,table,12.0
projectedDipMeans,elly2d10c13s,0.1,bootstrap,5.0
projectedDipMeans,glass,0.02,table,25.0
projectedDipMeans,ionosphere,0.0005,table,5.0
projectedDipMeans,s1,0.0005,table,10.0
projectedDipMeans,s2,0.0005,table,5.0
projectedDipMeans,sonar,0.0005,table,5.0
projectedDipMeans,statlog,0.0005,table,5.0
projectedDipMeans,unbalance,0.0005,table,5.0
projectedDipMeans,wdbc,0.0005,table,5.0
projectedDipMeans,wine,0.0005,table,5.0
projectedDipMeans,yeast,0.0005,table,5.0
