algorithm,dataset,n_clusters,step_size,dip_threshold,n_starting_vectors,ambiguous_triangle_strategy
dipInit,2d10c,9.0,0.01,0.01,1.0,ignore
dipInit,2d20c,20.0,0.01,0.01,1.0,ignore
dipInit,2d4c,4.0,0.001,0.01,1.0,ignore
dipInit,3spiral,3.0,0.1,0.01,1.0,ignore
dipInit,aggregation,7.0,0.1,0.25,3.0,random
dipInit,compound,6.0,0.1,0.01,1.0,ignore
dipInit,D1,3.0,0.01,0.01,1.0,ignore
dipInit,D2,3.0,0.1,0.01,2.0,ignore
dipInit,D3,3.0,0.1,0.01,1.0,ignore
dipInit,D4,2.0,0.1,0.01,1.0,ignore
dipInit,D5,2.0,0.1,1.0,1.0,ignore
dipInit,ecoli,8.0,0.1,0.1,5.0,random
dipInit,elly2d10c13s,10.0,0.01,0.01,1.0,ignore
dipInit,glass,6.0,0.1,0.1,5.0,random
dipInit,ionosphere,2.0,0.01,0.5,1.0,ignore
dipInit,s1,15.0,0.1,0.01,1.0,ignore
dipInit,s2,15.0,0.1,0.01,1.0,ignore
dipInit,sonar,2.0,0.01,0.5,1.0,ignore
dipInit,statlog,7.0,0.01,0.05,2.0,random
dipInit,unbalance,8.0,0.1,0.01,1.0,ignore
dipInit,wdbc,2.0,0.01,0.01,1.0,random
dipInit,wine,3.0,0.1,0.01,2.0,ignore
dipInit,yeast,10.0,0.1,0.01,1.0,ignore
