algorithm,dataset,n_clusters,embedding_size,pretrain_optimizer_params,clustering_optimizer_params,random_state
dec,2d10c,9.0,5.0,{'lr': 0.01},{'lr': 0.0001},42.0
dec,2d20c,20.0,10.0,{'lr': 0.01},{'lr': 1e-05},42.0
dec,2d4c,4.0,10.0,{'lr': 0.001},{'lr': 0.001},42.0
dec,3spiral,3.0,2.0,{'lr': 0.01},{'lr': 1e-05},42.0
dec,aggregation,7.0,2.0,{'lr': 0.001},{'lr': 1e-05},42.0
dec,compound,6.0,10.0,{'lr': 0.01},{'lr': 0.0001},42.0
dec,D1,3.0,2.0,{'lr': 0.001},{'lr': 0.001},42.0
dec,D2,3.0,5.0,{'lr': 0.01},{'lr': 0.001},42.0
dec,D3,3.0,5.0,{'lr': 0.01},{'lr': 0.001},42.0
dec,D4,2.0,5.0,{'lr': 0.01},{'lr': 1e-05},42.0
dec,D5,2.0,2.0,{'lr': 0.001},{'lr': 0.0001},42.0
dec,ecoli,8.0,10.0,{'lr': 0.01},{'lr': 0.001},42.0
dec,elly2d10c13s,10.0,10.0,{'lr': 0.001},{'lr': 0.0001},42.0
dec,glass,6.0,5.0,{'lr': 0.01},{'lr': 0.0001},42.0
dec,ionosphere,2.0,10.0,{'lr': 0.001},{'lr': 0.0001},42.0
dec,s1,15.0,10.0,{'lr': 0.01},{'lr': 1e-05},42.0
dec,s2,15.0,10.0,{'lr': 0.01},{'lr': 0.0001},42.0
dec,sonar,2.0,2.0,{'lr': 0.01},{'lr': 0.001},42.0
dec,statlog,7.0,5.0,{'lr': 0.01},{'lr': 0.0001},42.0
dec,unbalance,8.0,10.0,{'lr': 0.01},{'lr': 0.001},42.0
dec,wdbc,2.0,2.0,{'lr': 0.0001},{'lr': 1e-05},42.0
dec,wine,3.0,2.0,{'lr': 0.01},{'lr': 0.001},42.0
dec,yeast,10.0,10.0,{'lr': 0.01},{'lr': 1e-05},42.0
