algorithm,dataset,significance,split_viewers_threshold,pval_strategy
dipMeans,2d10c,0.0005,0.005,table
dipMeans,2d20c,0.0005,0.005,table
dipMeans,2d4c,0.005,0.05,function
dipMeans,3spiral,0.1,0.01,bootstrap
dipMeans,aggregation,0.0005,0.005,table
dipMeans,compound,0.1,0.005,table
dipMeans,D1,0.0005,0.005,bootstrap
dipMeans,D2,0.005,0.005,function
dipMeans,D3,0.0005,0.005,table
dipMeans,D4,0.0005,0.005,bootstrap
dipMeans,D5,0.1,0.1,table
dipMeans,ecoli,0.1,0.01,bootstrap
dipMeans,elly2d10c13s,0.01,0.01,function
dipMeans,glass,0.1,0.01,table
dipMeans,ionosphere,0.0005,0.005,table
dipMeans,s1,0.0005,0.005,table
dipMeans,s2,0.0005,0.005,table
dipMeans,sonar,0.0005,0.005,table
dipMeans,statlog,0.001,0.01,table
dipMeans,unbalance,0.0005,0.005,table
dipMeans,wdbc,0.0005,0.005,table
dipMeans,wine,0.005,0.01,function
dipMeans,yeast,0.0005,0.005,table
